.claude/skills/visual-introspection/	164	1	desc:Y	trig:Y
.claude/skills/write-a-skill/	137	1	desc:Y	trig:N
.claude/skills/writing-plans/	160	1	desc:Y	trig:N
.claude/skills/writing-skills/	681	1	desc:Y	trig:N
.claude/skills/yuri-code-intelligence/	145	1	desc:Y	trig:Y
.claude/skills/yuri-sales-intelligence/	119	1	desc:Y	trig:Y
.claude/skills/yuri-shura/	77	1	desc:Y	trig:Y
.agents/skills/MinerU Document Extractor/	186	1	desc:Y	trig:N
.agents/skills/ad-creative/	364	1	desc:Y	trig:N
.agents/skills/agent-scout/	148	1	desc:Y	trig:N
.agents/skills/ai-pipeline-offloading/	122	1	desc:Y	trig:Y
.agents/skills/audit-log-firewall/	27	1	desc:Y	trig:N
.agents/skills/bankai-manifest/	141	1	desc:Y	trig:Y
.agents/skills/bg/	93	1	desc:Y	trig:Y
.agents/skills/business-dach-market-intelligence/	112	1	desc:Y	trig:Y
.agents/skills/compact-optimizer/	216	1	desc:Y	trig:Y
.agents/skills/deepseek-offload/	93	1	desc:Y	trig:Y
.agents/skills/deepseek-workhorse/	233	1	desc:Y	trig:Y
.agents/skills/design-master/	137	2	desc:Y	trig:Y
.agents/skills/end-of-transmission/	1119	1	desc:Y	trig:Y
.agents/skills/execution-domain-core/	173	10	desc:Y	trig:Y
.agents/skills/extraction-sprint/	212	1	desc:Y	trig:Y
.agents/skills/failure-evolution-loop/	191	10	desc:Y	trig:Y
.agents/skills/geass-lock/	114	1	desc:Y	trig:Y
.agents/skills/graphify/	1349	2	desc:Y	trig:N
.agents/skills/haki-intent/	104	1	desc:Y	trig:Y
.agents/skills/izanagi-simulator/	109	1	desc:Y	trig:Y
.agents/skills/local-subagent/	214	1	desc:Y	trig:Y
.agents/skills/nen-phase-detector/	94	1	desc:Y	trig:Y
.agents/skills/nex-deliverables/	266	1	desc:Y	trig:N
.agents/skills/nex-vault/	312	1	desc:Y	trig:N
.agents/skills/non-destructive-infinity-guard/	196	10	desc:Y	trig:Y
.agents/skills/objection-source-diagnoser/	342	1	desc:Y	trig:N
.agents/skills/openclaw-offload/	134	1	desc:Y	trig:Y
.agents/skills/parallel-clone-orchestrator/	300	10	desc:Y	trig:Y
.agents/skills/pattern-mirror-core/	168	10	desc:Y	trig:Y
.agents/skills/probabilistic-decision-core/	222	1	desc:Y	trig:Y
.agents/skills/receipt-subscription-cleaner/	58	1	desc:Y	trig:N
.agents/skills/research-artifact-factory/	91	1	desc:Y	trig:Y
.agents/skills/sharingan/	692	1	desc:Y	trig:Y
.agents/skills/source-command-bg/	26	1	desc:Y	trig:N
.agents/skills/source-command-compact-optimizer/	30	1	desc:Y	trig:N
.agents/skills/source-command-constitution/	103	1	desc:Y	trig:N
.agents/skills/source-command-extraction-sprint/	22	1	desc:Y	trig:N
.agents/skills/source-command-graphify/	30	1	desc:Y	trig:N
.agents/skills/source-command-introspect/	16	1	desc:Y	trig:N
.agents/skills/source-command-tokenmaxxing/	30	1	desc:Y	trig:N
.agents/skills/source-command-yuri-clone/	18	1	desc:Y	trig:Y
.agents/skills/source-command-yuri-dna-ingest/	48	1	desc:Y	trig:N
.agents/skills/source-command-yuri-domain/	43	1	desc:Y	trig:N
.agents/skills/source-command-yuri-guard/	44	1	desc:Y	trig:N
.agents/skills/source-command-yuri-pattern-mirror/	47	1	desc:Y	trig:N
.agents/skills/source-command-yuri-probability/	37	1	desc:Y	trig:N
.agents/skills/source-command-yuri-zenkai/	49	1	desc:Y	trig:N
.agents/skills/swarm-coordination/	205	1	desc:Y	trig:Y
.agents/skills/tokenmaxxing/	232	1	desc:Y	trig:Y
.agents/skills/visual-introspection/	141	1	desc:Y	trig:Y
.agents/skills/yuri-code-intelligence/	138	1	desc:Y	trig:Y
.agents/skills/yuri-report/	35	1	desc:Y	trig:Y
.agents/skills/yuri-sales-intelligence/	118	1	desc:Y	trig:Y
.agents/skills/yuri-shura/	153	1	desc:Y	trig:Y
.agents/skills/yuri-video-script/	92	1	desc:Y	trig:Y
